,CuGal,CuGal,CuGal,CuGal,CuGal,CuGal,LCDM,LCDM,LCDM,LCDM,LCDM,LCDM,QCDM,QCDM,QCDM,QCDM,QCDM,QCDM
0.18895,3002.806837158203,2169.956837158203,1596.016837158203,922.2998371582031,402.2998371582031,1.3750101582031249,2453.876837158203,1846.4068371582032,1402.8868371582032,853.7348371582032,391.2368371582031,1.3750101582031249,2860.076837158203,2127.386837158203,1583.026837158203,920.7668371582031,402.2318371582031,1.3750101582031249
0.20491,2723.866837158203,1959.516837158203,1431.2168371582031,817.2138371582031,353.46683715820313,1.206330158203125,2222.446837158203,1662.016837158203,1254.336837158203,755.5398371582031,343.70483715820313,1.206330158203125,2594.196837158203,1920.506837158203,1419.3568371582032,815.8468371582031,353.4078371582031,1.206330158203125
0.22076,2484.416837158203,1736.6568371582032,1237.9868371582031,686.3018371582032,291.5058371582031,1.016414158203125,1992.246837158203,1454.036837158203,1075.9168371582032,632.7848371582031,283.39483715820313,1.016414158203125,2357.0068371582033,1699.4368371582032,1227.096837158203,685.1208371582031,291.45683715820314,1.016414158203125
0.23588,2258.166837158203,1586.266837158203,1138.086837158203,633.6608371582031,266.3448371582031,0.891128158203125,1816.596837158203,1333.256837158203,991.4598371582031,584.1008371582031,258.8088371582031,0.891128158203125,2143.646837158203,1553.1268371582032,1128.316837158203,632.5818371582031,266.2998371582031,0.891128158203125
0.2514,2059.416837158203,1441.1768371582032,1031.036837158203,573.8708371582031,242.19783715820313,0.810491158203125,1654.4268371582032,1209.8668371582032,897.8558371582031,529.2078371582031,235.37483715820312,0.810491158203125,1954.8968371582032,1411.076837158203,1022.2468371582031,572.9138371582031,242.1588371582031,0.810491158203125
0.26754,1832.326837158203,1275.4168371582032,913.5948371582032,511.4728371582031,217.79883715820313,0.729722158203125,1466.7168371582031,1071.4168371582032,796.6798371582031,472.14883715820315,211.71083715820313,0.729722158203125,1738.1168371582032,1249.046837158203,906.0038371582032,510.64883715820315,217.76483715820314,0.729722158203125
0.28357,1908.2368371582031,1305.566837158203,912.4308371582031,489.4948371582031,199.61183715820312,0.643033158203125,1515.4168371582032,1083.7268371582031,787.4688371582031,449.55083715820314,193.84583715820312,0.643033158203125,1808.276837158203,1277.046837158203,904.3158371582032,488.6628371582031,199.58083715820314,0.643033158203125
0.29902,1677.596837158203,1158.6968371582032,821.1338371582032,445.8648371582031,179.89383715820313,0.573475658203125,1339.6868371582032,969.6968371582032,712.2658371582031,409.5208371582031,174.6108371582031,0.573475658203125,1591.536837158203,1134.7268371582031,814.2178371582031,445.12483715820315,179.86483715820313,0.573475658203125
0.31445,1585.786837158203,1068.6168371582032,742.5198371582031,396.9948371582031,161.27083715820314,0.524864958203125,1248.4368371582032,884.6918371582032,640.5198371582031,364.5568371582031,156.59883715820314,0.524864958203125,1500.2068371582031,1045.286837158203,736.0668371582032,396.3478371582031,161.24683715820314,0.524864958203125
0.33037,1526.3668371582032,1030.096837158203,716.3148371582031,383.0308371582031,154.47283715820313,0.480954318203125,1204.1768371582032,853.8708371582031,618.1558371582031,351.69283715820313,149.94283715820313,0.480954318203125,1445.3668371582032,1008.1168371582031,710.2308371582031,382.4218371582031,154.45083715820311,0.480954318203125
0.34614,1381.8768371582032,929.8298371582031,649.9578371582031,349.9728371582031,140.38783715820313,0.435194458203125,1088.086837158203,773.0798371582031,562.5438371582031,321.40183715820314,136.23683715820312,0.435194458203125,1308.016837158203,910.4878371582031,644.6568371582031,349.4338371582031,140.36783715820312,0.435194458203125
0.36162,1336.9368371582032,907.8018371582032,632.6508371582031,333.7588371582031,130.88683715820312,0.396722958203125,1061.1768371582032,755.0678371582031,545.5558371582031,305.66883715820313,126.95983715820313,0.396722958203125,1268.806837158203,889.3318371582031,627.4398371582031,333.2348371582031,130.86883715820312,0.396722958203125
