,z0,z025,z05,z1,z2
2.74897,100.599,63.2449,43.187,20.8954,5.25783
2.76462,99.5224,62.2983,42.8286,20.7524,5.2394
2.78034,98.5058,61.9503,42.4489,20.5119,5.18638
2.79607,97.394,60.8325,41.9107,20.2996,5.12867
2.81179,96.2754,60.1448,41.409,20.1543,5.11538
2.82749,95.2581,59.702,40.9246,19.8639,5.05461
2.84321,93.9124,59.0993,40.4098,19.7993,5.00932
2.85893,93.0292,58.0459,39.9642,19.4512,4.93573
2.87462,91.4192,57.5766,39.3886,19.2526,4.90117
2.89033,90.4895,56.8575,39.2659,19.1793,4.86609
2.90605,89.2407,56.2531,38.7372,18.9256,4.83389
2.92176,88.4601,55.8957,38.2976,18.6435,4.80609
2.93747,87.7067,54.9917,37.9397,18.5824,4.74471
2.95318,86.3246,54.4723,37.2267,18.3244,4.71487
2.96891,85.4428,54.0065,37.1021,18.2157,4.67721
2.98456,84.3004,53.0638,36.621,18.0019,4.64246
3.00023,83.8801,52.5239,36.2308,17.8429,4.59114
3.01596,82.8095,52.0812,35.7285,17.6369,4.54382
3.03164,81.5339,51.598,35.3807,17.4952,4.50636
3.04738,80.8323,50.8874,34.8983,17.3102,4.45924
3.0631,79.6938,50.3349,34.5629,17.1273,4.42781
3.07883,79.0639,49.6057,34.3083,16.9406,4.39516
3.09456,78.1043,49.2315,33.8934,16.7495,4.3749
3.11026,77.3724,48.603,33.5191,16.6683,4.32072
3.12596,76.3403,48.0317,33.2345,16.4563,4.31307
3.14163,75.6338,47.5619,32.8435,16.354,4.25901
3.15734,74.9524,47.1655,32.4759,16.1184,4.24901
3.17308,74.0681,46.5825,32.164,16.017,4.18876
3.18879,73.1495,45.9407,31.7126,15.8743,4.15817
3.20447,72.5564,45.4403,31.4074,15.727,4.12819
3.2202,71.579,44.9698,31.0864,15.5863,4.08486
3.2359,70.6677,44.4141,30.9148,15.4178,4.04511
3.25157,70.0367,43.9319,30.5388,15.24,4.01727
3.26729,69.4547,43.5445,30.1623,15.1197,3.98282
3.28304,68.8471,43.0535,29.8508,14.9635,3.96279
3.29877,67.9934,42.6198,29.4641,14.818,3.9232
3.31446,67.3115,42.1736,29.1618,14.6845,3.9016
3.33014,66.6442,41.6523,28.9221,14.538,3.8565
3.34585,66.0364,41.2994,28.5698,14.418,3.83158
3.36158,65.2256,40.7641,28.4387,14.3455,3.80811
3.37727,64.6975,40.3295,28.0026,14.16,3.76844
3.39294,63.8656,39.8805,27.7263,13.9806,3.75617
3.40867,63.0321,39.4962,27.4833,13.8594,3.70734
3.42439,62.4231,39.2197,27.1606,13.792,3.68858
3.44008,61.8796,38.7563,26.8132,13.6029,3.65371
