# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.03856e-05 to 223.529 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       6.552866125475e-04      -1.610169379131e+00      -1.208393609350e+00      -1.208400178990e+00      -1.610048737582e+00      -1.220152608324e+00       6.111499567588e-01       5.958912094909e-01       5.724464979428e-05       5.955040583124e-05       5.955249917455e-05       5.709775726467e-05       5.946069244828e-05 
       6.861693191541e-04      -1.615842816888e+00      -1.212802850745e+00      -1.212810830426e+00      -1.615697916522e+00      -1.224599700612e+00       6.110246721113e-01       5.958073906827e-01       6.252025375044e-05       6.528897304147e-05       6.529152636945e-05       6.234422529169e-05       6.518128435701e-05 
       7.185074828829e-04      -1.622040799101e+00      -1.217636498685e+00      -1.217646159339e+00      -1.621866838764e+00      -1.229474293362e+00       6.108873938263e-01       5.957154981284e-01       6.825549977124e-05       7.157983245745e-05       7.158293002425e-05       6.804467507925e-05       7.145056756740e-05 
       7.523696973149e-04      -1.628806671420e+00      -1.222933875111e+00      -1.222945238840e+00      -1.628598420394e+00      -1.234815617328e+00       6.107375722691e-01       5.956153739326e-01       7.448484847658e-05       7.847619644287e-05       7.847981231319e-05       7.423288026127e-05       7.832092973181e-05 
       7.878277887468e-04      -1.636196585771e+00      -1.228742699306e+00      -1.228756728067e+00      -1.635946228649e+00      -1.240672376965e+00       6.105726151462e-01       5.955046966162e-01       8.124490159129e-05       8.603558143783e-05       8.604008589872e-05       8.094304728999e-05       8.584936260757e-05 
       8.249569685446e-04      -1.644257512517e+00      -1.235108794072e+00      -1.235125709847e+00      -1.643957257814e+00      -1.247089823041e+00       6.103924880186e-01       5.953839654384e-01       8.857242615460e-05       9.432212223664e-05       9.432755723170e-05       8.821148913449e-05       9.409867018762e-05 
       8.638359926766e-04      -1.653045818831e+00      -1.242085450096e+00      -1.242105394808e+00      -1.652686569858e+00      -1.254121254990e+00       6.101958588952e-01       5.952523158020e-01       9.650551907198e-05       1.034055982582e-04       1.034119636635e-04       9.607474223826e-05       1.031373490087e-04 
       9.045473287655e-04      -1.662628510964e+00      -1.249733845795e+00      -1.249757976549e+00      -1.662197780447e+00      -1.261828812167e+00       6.099799300020e-01       5.951073599051e-01       1.050833355677e-04       1.133617134145e-04       1.133694341562e-04       1.045687457139e-04       1.130399846617e-04 
       9.471773310136e-04      -1.673067129855e+00      -1.258116570782e+00      -1.258145618434e+00      -1.672551087955e+00      -1.270274688328e+00       6.097436824652e-01       5.949486753877e-01       1.143441469347e-04       1.242743742241e-04       1.242836675371e-04       1.137300338245e-04       1.238885246268e-04 
       9.918164233710e-04      -1.684428769394e+00      -1.267303158919e+00      -1.267337570614e+00      -1.683811648011e+00      -1.279528090307e+00       6.094856123834e-01       5.947753718061e-01       1.243255571281e-04       1.362353235074e-04       1.362462725520e-04       1.235938942301e-04       1.357724746744e-04 
       1.038559291337e-03      -1.696793650845e+00      -1.277372565459e+00      -1.277414462951e+00      -1.696054091097e+00      -1.289669314285e+00       6.092024175710e-01       5.945846534922e-01       1.350646939978e-04       1.493437565458e-04       1.493571474004e-04       1.341923292985e-04       1.487891209448e-04 
       1.087505082803e-03      -1.710232349406e+00      -1.288406941689e+00      -1.288457207204e+00      -1.709347627258e+00      -1.300779141489e+00       6.088930428973e-01       5.943762615622e-01       1.465940152276e-04       1.637101767799e-04       1.637262270639e-04       1.455557188478e-04       1.630454577441e-04 
       1.138757618353e-03      -1.724826144375e+00      -1.300498407222e+00      -1.300558221045e+00      -1.723769056831e+00      -1.312949564506e+00       6.085550199281e-01       5.941484353546e-01       1.589428938451e-04       1.794545107194e-04       1.794735367428e-04       1.577089222474e-04       1.786579216367e-04 
